"","January1","January2","January3","January4","January5","January6","January7","January8","January9","January10","January11","January12","January13","January14","January15","January16","January17","January18","January19","January20","January21","January22","January23","January24","January25","January26","January27","January28","January29","January30","January31"
"1",136,100,16,80,10,66,88,38,1,87,8,4,0,0,0,0,0,0,0,1,0,33,8,16,1,0,0,0,5,16,4
"2",17,14,0,0,1,11,90,6,0,0,0,0,0,3,0,0,10,0,10,0,20,0,0,0,0,13,1,0,0,3,0
"3",1,35,13,13,18,122,22,25,8,48,3,2,8,0,40,60,1,0,138,157,58,84,63,19,4,46,6,3,0,0,0
"4",34,183,11,20,11,0,9,1,0,3,16,21,53,2,105,76,30,9,24,6,130,24,7,50,68,30,3,0,0,0,0
"5",0,0,2,1,2,7,11,2,37,21,3,2,0,3,0,0,0,14,24,43,18,5,6,64,2,16,13,0,3,155,18
"6",2,124,51,2,0,41,113,177,143,5,202,59,23,8,34,59,52,52,45,25,33,107,113,20,70,56,68,67,42,42,118
"7",59,48,44,121,130,90,42,33,13,0,0,0,27,72,40,12,9,23,70,50,86,145,28,22,16,3,5,7,0,0,18
"8",32,36,0,4,16,0,0,0,0,0,0,5,30,9,35,35,11,0,0,17,0,14,42,39,5,0,0,2,0,1,49
"9",48,52,141,106,50,74,51,8,10,1,2,0,31,33,90,75,3,38,51,21,25,13,53,36,0,0,0,16,10,0,0
"10",43,12,9,1,0,0,68,34,0,8,50,0,0,3,0,0,2,0,30,21,9,14,25,0,0,0,0,0,0,61,19
"11",0,8,1,0,0,0,0,42,30,39,18,50,17,110,64,86,108,1,0,8,34,6,85,56,38,0,35,83,26,91,35
"12",33,6,0,0,4,51,36,70,85,44,2,129,51,34,17,24,46,9,13,8,16,53,110,180,0,23,58,6,8,18,13
"13",0,2,0,0,7,28,27,5,0,15,7,13,0,0,23,12,0,0,0,0,0,16,53,60,47,53,5,55,125,6,0
"14",18,0,0,32,178,28,11,84,47,23,34,5,41,32,158,51,67,3,0,0,0,0,3,4,0,0,0,20,73,83,37
"15",0,84,143,0,31,44,44,5,0,0,0,18,2,23,3,9,45,3,0,0,0,0,0,15,12,15,2,1,0,0,0
"16",46,40,47,0,1,2,2,18,44,2,0,0,2,19,9,0,2,0,0,0,0,0,0,5,0,0,0,0,0,3,40
"17",247,5,5,13,40,83,9,1,54,19,0,0,71,19,65,56,101,56,109,26,30,31,0,117,179,0,33,3,86,22,56
"18",41,62,38,5,31,27,12,27,0,0,0,0,15,0,0,7,8,5,2,11,48,3,45,24,8,69,138,102,183,137,0
"19",41,93,28,34,155,102,42,50,0,26,34,88,43,40,0,1,2,17,0,0,0,0,30,0,6,0,33,2,37,23,18
"20",2,102,41,167,2,7,9,0,0,58,3,21,87,63,53,2,5,37,336,67,18,6,3,0,23,25,123,37,34,0,0
"21",20,0,1,4,3,0,27,23,152,16,0,69,63,47,52,19,15,44,130,120,4,0,0,21,2,1,0,0,7,37,42
"22",25,0,57,102,230,119,70,38,41,52,12,2,2,7,34,37,47,1,0,4,20,0,0,1,0,22,0,19,5,23,28
"23",0,0,6,0,0,0,0,30,39,9,8,18,157,162,3,3,55,81,61,10,90,117,10,105,43,83,37,0,0,0,41
"24",0,0,0,0,0,0,38,130,72,22,12,6,8,6,149,51,4,82,74,11,32,108,78,145,132,32,0,0,15,2,0
"25",31,17,0,7,9,8,36,80,14,72,57,6,5,8,0,44,45,69,178,311,43,20,104,18,14,0,0,0,0,0,0
"26",81,5,0,26,1,0,0,0,0,11,107,161,66,1,24,25,1,25,1,39,0,0,34,31,1,0,0,0,16,42,0
"27",0,0,0,0,0,0,0,0,3,1,21,63,183,253,154,87,16,73,5,15,35,7,44,78,92,50,18,22,168,127,107
"28",6,7,51,94,12,7,96,6,18,4,92,81,114,16,6,61,44,1,26,0,0,38,17,15,26,8,7,0,0,0,0
"29",0,0,67,47,27,5,59,26,27,105,42,9,162,153,58,1,26,0,0,0,9,42,1,0,0,140,0,0,0,0,0
"30",1,1,7,0,0,0,0,0,0,3,56,47,15,1,15,41,32,31,4,3,3,0,0,0,0,0,0,0,0,17,18
"31",0,33,105,34,70,8,77,5,40,1,14,0,9,4,0,2,0,0,2,51,21,8,0,0,68,5,3,9,0,0,25
"32",0,0,0,0,0,0,0,0,57,32,10,3,0,7,2,1,0,4,29,108,0,0,29,1,0,4,2,0,0,0,0
"33",1,23,0,63,9,0,3,2,4,1,160,52,27,28,45,87,0,0,0,1,0,0,0,1,0,0,0,0,0,0,34
"34",0,0,0,0,18,3,0,18,34,0,0,0,0,0,0,0,18,3,0,18,34,25,89,6,8,17,9,68,1,6,0
"35",5,42,15,50,0,0,0,0,0,71,27,9,2,1,132,65,50,1,0,0,5,5,256,5,79,48,5,10,40,20,39
"36",4,76,42,338,113,85,128,19,83,2,0,6,2,1,6,9,2,65,7,3,0,63,23,15,20,34,83,0,3,0,0
